"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C03137V03789","Type of Cattle","C02196V04140","Region and County","UNIT","VALUE"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE051","Mid-West","000 Head","10.3"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE05116","Clare","000 Head","3.5"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE05118","Limerick","000 Head","2.8"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE05122","Tipperary","000 Head","4"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE052","South-East","000 Head","6.4"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE05201","Carlow","000 Head","0.8"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE05207","Kilkenny","000 Head","2.1"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE05214","Wexford","000 Head","1.9"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE05225","Waterford","000 Head","1.6"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE053","South-West","000 Head","10.3"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE05316","Cork","000 Head","7.2"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE05319","Kerry","000 Head","3.1"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE06","Eastern and Midland","000 Head","10.6"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE061","Dublin","000 Head","0.2"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE06106","Dublin and Mid-East","000 Head","4.5"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE06206","Kildare","000 Head","1"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE06210","Louth","000 Head","0.6"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE06211","Meath","000 Head","1.8"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE06215","Wicklow","000 Head","1.1"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE063","Midland","000 Head","6"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE06308","Laois","000 Head","1.7"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE06309","Longford","000 Head","1.2"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE06312","Offaly","000 Head","1.5"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE06313","Westmeath","000 Head","1.6"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","-","State","000 Head","801.7"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE04","Northern and Western","000 Head","204"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE041","Border","000 Head","82.6"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE04128","Leitrim","000 Head","5.4"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE04131","Sligo","000 Head","13"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE04132","Cavan","000 Head","22.1"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE04133","Donegal","000 Head","17.1"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE04134","Monaghan","000 Head","25.1"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE042","West","000 Head","121.4"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE04225","Galway","000 Head","58.4"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE04229","Mayo","000 Head","33.3"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE04230","Roscommon","000 Head","29.7"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE05","Southern","000 Head","372.5"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE051","Mid-West","000 Head","158.9"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE05116","Clare","000 Head","31.3"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE05118","Limerick","000 Head","47.8"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE05122","Tipperary","000 Head","79.8"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE052","South-East","000 Head","98.2"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE05201","Carlow","000 Head","11.1"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE05207","Kilkenny","000 Head","37.5"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE05214","Wexford","000 Head","25.7"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE05225","Waterford","000 Head","23.9"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE053","South-West","000 Head","115.5"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE05316","Cork","000 Head","87.6"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE05319","Kerry","000 Head","27.9"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE06","Eastern and Midland","000 Head","225.1"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE061","Dublin","000 Head","4.1"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE06106","Dublin and Mid-East","000 Head","108.8"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE06206","Kildare","000 Head","24.9"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE06210","Louth","000 Head","15.3"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE06211","Meath","000 Head","52.3"
